query_id,query_text,query_group,query_set_version,priority,status,result_count
query_8dea7c9ff404,rodent insomnia model,animal_sleep_models,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_1664cba823c3,sleep deprivation mouse EEG,animal_sleep_models,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_b5e439a7222e,sleep fragmentation animal model,animal_sleep_models,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_51a505413db9,stress induced insomnia animal model,animal_sleep_models,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_4a43280b10ba,microarousal sleep EEG,general_sleep_physiology,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_51adb73f3eb4,sleep architecture EEG,general_sleep_physiology,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_1130349dbd20,sleep fragmentation EEG,general_sleep_physiology,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_b4a76780f4cb,sleep homeostasis slow wave activity,general_sleep_physiology,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_355b6f731c9f,sleep physiology NREM REM,general_sleep_physiology,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_a15cf4cef40f,sleep spindle generation,general_sleep_physiology,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_a051ce235563,sleep wake transition neural mechanisms,general_sleep_physiology,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_5a648412a265,slow wave sleep delta power,general_sleep_physiology,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_f6570e380553,CAP sleep EEG,human_sleep_eeg_psg,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_ca71ab99a847,human beta power sleep EEG,human_sleep_eeg_psg,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_fbdac189fb1a,human delta power sleep EEG,human_sleep_eeg_psg,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_de1f93b2337e,human sigma power sleep EEG,human_sleep_eeg_psg,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_eec57c4fcbbc,human sleep EEG slow wave activity,human_sleep_eeg_psg,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_de0433353df1,human sleep microstructure,human_sleep_eeg_psg,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_4c555259f012,human sleep spindle density EEG,human_sleep_eeg_psg,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_8d30c76164e1,polysomnography sleep architecture,human_sleep_eeg_psg,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_6fb50b4e5540,sleep arousal index PSG,human_sleep_eeg_psg,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_f0816f364d24,EEG informed fMRI sleep,human_sleep_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_954b9b09caf5,NREM sleep fMRI connectivity,human_sleep_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_65be16303688,REM sleep fMRI connectivity,human_sleep_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_9fabd56169c0,human sleep fMRI functional connectivity,human_sleep_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_010d0c24ca45,simultaneous EEG fMRI sleep,human_sleep_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_bef2892ec50c,sleep DTI white matter,human_sleep_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_8b0dacdcc0dc,sleep MRI brain structure,human_sleep_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_8289e2d892a6,sleep default mode network fMRI,human_sleep_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_d715486faaa9,sleep spindle fMRI thalamus,human_sleep_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_95d42363d253,sleep thalamus connectivity fMRI,human_sleep_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_1196299fa1de,insomnia DTI fractional anisotropy,insomnia_clinical_application,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_294ba301cdf3,insomnia EEG slow wave activity,insomnia_clinical_application,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_f6f21ab77cac,insomnia beta power hyperarousal,insomnia_clinical_application,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_d5531dc22423,insomnia default mode network fMRI,insomnia_clinical_application,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_35252b6989d0,insomnia hippocampus volume,insomnia_clinical_application,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_e0d7d0416e6d,insomnia polysomnography sleep architecture,insomnia_clinical_application,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_fa23fcd241b4,insomnia resting state fMRI,insomnia_clinical_application,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_a949a6cd6411,insomnia sleep spindle EEG,insomnia_clinical_application,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_4ffc1537d6f4,insomnia structural MRI,insomnia_clinical_application,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_27e5055dd82b,insomnia thalamus functional connectivity,insomnia_clinical_application,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_782df2459e11,insomnia DTI white matter integrity,insomnia_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_f1997d3b7d6a,insomnia MRI gray matter volume,insomnia_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_02e496e378a2,insomnia amygdala hippocampus MRI,insomnia_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_622d87579583,insomnia fMRI functional connectivity,insomnia_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_c5153ad0e96b,insomnia neuroimaging meta analysis,insomnia_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_1fd0ce23015c,EEG fMRI artifact correction sleep,methods_confounds,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_133648435a49,age sex motion covariates sleep fMRI,methods_confounds,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_f385304341d7,in scanner sleep EEG fMRI,methods_confounds,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_ba1ef4da3816,multiple comparison correction sleep fMRI,methods_confounds,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_ea357fa08bae,polysomnography scoring reliability,methods_confounds,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_9f9752d5088e,simultaneous EEG fMRI artifact correction,methods_confounds,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_f39c16623284,sleep fMRI head motion confound,methods_confounds,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_4267a04ddf24,sleep neuroimaging medication confound,methods_confounds,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_f5cfe33de0ae,sleep stage composition fMRI analysis,methods_confounds,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_aa5592fe0618,GABA sleep regulation,molecular_cellular_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_514b73664b58,TNF alpha sleep,molecular_cellular_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_a057bfdef600,acetylcholine REM sleep,molecular_cellular_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_d4207650bd8a,adenosine sleep pressure,molecular_cellular_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_2c7c65e89199,cytokines sleep regulation,molecular_cellular_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_779fe068526e,glutamate sleep wake regulation,molecular_cellular_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_561bf26d66e3,histamine sleep wake regulation,molecular_cellular_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_596a31cacfa9,interleukin sleep regulation,molecular_cellular_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_1b791241f66a,melatonin circadian sleep,molecular_cellular_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_7eaa5022484f,orexin receptor sleep arousal,molecular_cellular_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_c4fd235ed6ce,REM sleep brainstem circuit,sleep_circuits,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_38d56952ef49,SCN circadian sleep regulation,sleep_circuits,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_756fb02ce11b,VLPO sleep GABA,sleep_circuits,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_22386ebbe712,basal forebrain acetylcholine sleep,sleep_circuits,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_ac6591a880ac,cortical slow oscillation sleep,sleep_circuits,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_6792ab5cdbf2,locus coeruleus sleep wake norepinephrine,sleep_circuits,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_7942a4d1fcdb,orexin hypocretin arousal sleep wake,sleep_circuits,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_f547191d3b03,thalamic reticular nucleus sleep spindle,sleep_circuits,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_0547a21e08d0,thalamocortical spindle circuit,sleep_circuits,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_9ba3c8ecde9b,ISI fMRI insomnia,symptoms_scales,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_45568169cf4a,PSQI fMRI sleep quality,symptoms_scales,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_73db43a11350,PSQI sleep quality EEG,symptoms_scales,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_060908b02280,insomnia anxiety depression EEG,symptoms_scales,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_79295adb1a9e,insomnia depression anxiety fMRI,symptoms_scales,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_b2e338cc8cc4,insomnia severity index EEG,symptoms_scales,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_e02b925985f7,sleep quality neuroimaging,symptoms_scales,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_b16aac80546e,subjective sleep quality brain connectivity,symptoms_scales,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_8cba9103b440,adenosine sleep pressure human EEG,translational_bridge,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_d6ebdf34c892,animal sleep mechanism human EEG,translational_bridge,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_274411c1a92e,glymphatic clearance human sleep MRI,translational_bridge,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_3df26cebfc87,orexin hyperarousal insomnia,translational_bridge,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_0e97d414ebef,rodent sleep spindle human sleep spindle,translational_bridge,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_6d930e6ac481,sleep deprivation animal human translation,translational_bridge,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_b04cea6ed987,slow wave sleep glymphatic human,translational_bridge,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_48ad69451260,thalamocortical sleep spindle human animal,translational_bridge,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
