query_id,query_text,query_group,query_set_version,priority,status,result_count
query_8dea7c9ff404,rodent insomnia model,animal_sleep_models,sleep_literature_queries_v2_broad_sleep_science,1.0,active,47
query_1664cba823c3,sleep deprivation mouse EEG,animal_sleep_models,sleep_literature_queries_v2_broad_sleep_science,1.0,active,75
query_b5e439a7222e,sleep fragmentation animal model,animal_sleep_models,sleep_literature_queries_v2_broad_sleep_science,1.0,active,99
query_51a505413db9,stress induced insomnia animal model,animal_sleep_models,sleep_literature_queries_v2_broad_sleep_science,1.0,active,87
query_de0ca37c36ee,Brain network integration during wakefulness and sleep,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,76
query_14bfae6141b8,Covariates in fMRI analysis of insomnia,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,17
query_2635464708a3,Covariates in fMRI studies of sleep disorders,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,56
query_8f31af955717,DMN ROI voxels insomnia,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science_incremental,1.0,active,55
query_d68a93d913c1,DVARS and thalamocortical connectivity in insomnia,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,7
query_10888a9d851c,DVARS in sleep studies,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science_incremental,1.0,active,140
query_8710d1751327,Effect of mean_FD on thalamus-salience FC in sleep disorders,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_f6f2bc0447ad,Effect of motion parameters on sleep architecture,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science_incremental,1.0,active,95
query_ecaf2a78c41e,Frontoparietal network connectivity in insomnia,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,22
query_9f9a10f7d6b5,Functional connectivity thalamus salience network insomnia,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,36
query_e5e0899ff747,Global signal PSD in sleep studies,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science_incremental,1.0,active,145
query_0f834243f918,Global signal power and insomnia,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science_incremental,1.0,active,63
query_184e7a927312,Global signal power in insomnia fMRI,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science_incremental,1.0,active,53
query_6f055da4a938,Global signal power in thalamus-DMN FC studies of insomnia,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,18
query_18dc83ae0332,Global_signal_psd as control in thalamus-salience FC in sleep disorders,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_7041616d30c9,Global_signal_psd control in thalamus connectivity studies of sleep disorders,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_2eb38a4fbfb4,Global_signal_psd modulation of thalamus network connectivity in insomnia,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_3e490747cc94,Impact of motion on thalamic spindle modulation,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science_incremental,1.0,active,95
query_8c34366dba1e,Mean FD and network integration in insomnia,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,42
query_18c9fae88d0c,Mean FD as covariate in insomnia fMRI studies,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,38
query_6d6a7854d2cb,Mean_FD and insomnia severity,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science_incremental,1.0,active,0
query_02d1d22e74d6,Mean_FD as covariate in thalamus-DMN FC in insomnia,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_1546eea65cb7,Mean_FD modulation of thalamus network connectivity in insomnia,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_0f2809befdc6,Negative control variables in fMRI sleep research,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science_incremental,1.0,active,119
query_a4e5abcfb7c4,Network dysregulation in insomnia,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,57
query_740f0dfa835c,REM-NREM switching thalamus connectivity insomnia,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,44
query_fa77e54d0272,REM-NREM transitions thalamocortical coupling insomnia,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,48
query_d06a85150c21,ROI voxels sleep networks,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science_incremental,1.0,active,63
query_9e3deb09a800,Salience network connectivity and insomnia severity,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,41
query_628422c0df97,Thalamic feedback loop in sleep disturbances,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,79
query_d5a75ee0b079,Thalamic frontoparietal FC and insomnia,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,26
query_cfd1e34c00bd,Thalamic functional connectivity REM-NREM insomnia severity,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,34
query_72396db04638,Thalamocortical coupling and insomnia severity,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,34
query_c4ef3603defe,Thalamus DMN FC and insomnia severity,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,3
query_c500fa5a11d2,Thalamus FC and global_signal_psd in DMN and salience networks in insomnia,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_4658b939bc6f,Thalamus-frontoparietal FC and insomnia,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,6
query_3479b3f84645,Thalamus-frontoparietal FC during NREM sleep,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,66
query_a50a04705a97,Thalamus-salience FC in insomnia,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,4
query_8fb7602973aa,fALFF and functional connectivity in insomnia,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,35
query_f2a6ced142b0,fALFF and thalamus connectivity in sleep disorders,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,62
query_99cced65842f,fMRI frontoparietal FC in sleep disorders,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,78
query_eae8eb6a531d,fMRI thalamus connectivity insomnia studies,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science,1.0,active,20
query_2a7820c9e688,frontoparietal ROI voxels insomnia,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science_incremental,1.0,active,86
query_5ef1c77090df,global signal power sleep,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science_incremental,1.0,active,176
query_cb4ab18bf645,multivariate regression sleep networks,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science_incremental,1.0,active,130
query_dc56d6723e2f,regression models sleep stages,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science_incremental,1.0,active,123
query_1fe1bee0a153,salience ROI voxels sleep,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science_incremental,1.0,active,99
query_e25ff5b96ca0,timefreq global signal insomnia,experiment_feedback_expansion,sleep_literature_queries_v2_broad_sleep_science_incremental,1.0,active,68
query_4a43280b10ba,microarousal sleep EEG,general_sleep_physiology,sleep_literature_queries_v2_broad_sleep_science,1.0,active,117
query_51adb73f3eb4,sleep architecture EEG,general_sleep_physiology,sleep_literature_queries_v2_broad_sleep_science,1.0,active,71
query_1130349dbd20,sleep fragmentation EEG,general_sleep_physiology,sleep_literature_queries_v2_broad_sleep_science,1.0,active,68
query_b4a76780f4cb,sleep homeostasis slow wave activity,general_sleep_physiology,sleep_literature_queries_v2_broad_sleep_science,1.0,active,72
query_355b6f731c9f,sleep physiology NREM REM,general_sleep_physiology,sleep_literature_queries_v2_broad_sleep_science,1.0,active,95
query_a15cf4cef40f,sleep spindle generation,general_sleep_physiology,sleep_literature_queries_v2_broad_sleep_science,1.0,active,51
query_a051ce235563,sleep wake transition neural mechanisms,general_sleep_physiology,sleep_literature_queries_v2_broad_sleep_science,1.0,active,65
query_5a648412a265,slow wave sleep delta power,general_sleep_physiology,sleep_literature_queries_v2_broad_sleep_science,1.0,active,71
query_f6570e380553,CAP sleep EEG,human_sleep_eeg_psg,sleep_literature_queries_v2_broad_sleep_science,1.0,active,105
query_ca71ab99a847,human beta power sleep EEG,human_sleep_eeg_psg,sleep_literature_queries_v2_broad_sleep_science,1.0,active,53
query_fbdac189fb1a,human delta power sleep EEG,human_sleep_eeg_psg,sleep_literature_queries_v2_broad_sleep_science,1.0,active,35
query_de1f93b2337e,human sigma power sleep EEG,human_sleep_eeg_psg,sleep_literature_queries_v2_broad_sleep_science,1.0,active,38
query_eec57c4fcbbc,human sleep EEG slow wave activity,human_sleep_eeg_psg,sleep_literature_queries_v2_broad_sleep_science,1.0,active,39
query_de0433353df1,human sleep microstructure,human_sleep_eeg_psg,sleep_literature_queries_v2_broad_sleep_science,1.0,active,91
query_4c555259f012,human sleep spindle density EEG,human_sleep_eeg_psg,sleep_literature_queries_v2_broad_sleep_science,1.0,active,40
query_8d30c76164e1,polysomnography sleep architecture,human_sleep_eeg_psg,sleep_literature_queries_v2_broad_sleep_science,1.0,active,91
query_6fb50b4e5540,sleep arousal index PSG,human_sleep_eeg_psg,sleep_literature_queries_v2_broad_sleep_science,1.0,active,124
query_f0816f364d24,EEG informed fMRI sleep,human_sleep_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,59
query_954b9b09caf5,NREM sleep fMRI connectivity,human_sleep_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,31
query_65be16303688,REM sleep fMRI connectivity,human_sleep_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,53
query_9fabd56169c0,human sleep fMRI functional connectivity,human_sleep_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,43
query_010d0c24ca45,simultaneous EEG fMRI sleep,human_sleep_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,41
query_bef2892ec50c,sleep DTI white matter,human_sleep_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,88
query_8b0dacdcc0dc,sleep MRI brain structure,human_sleep_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,92
query_8289e2d892a6,sleep default mode network fMRI,human_sleep_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,51
query_d715486faaa9,sleep spindle fMRI thalamus,human_sleep_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,40
query_95d42363d253,sleep thalamus connectivity fMRI,human_sleep_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,49
query_1196299fa1de,insomnia DTI fractional anisotropy,insomnia_clinical_application,sleep_literature_queries_v2_broad_sleep_science,1.0,active,77
query_294ba301cdf3,insomnia EEG slow wave activity,insomnia_clinical_application,sleep_literature_queries_v2_broad_sleep_science,1.0,active,58
query_f6f21ab77cac,insomnia beta power hyperarousal,insomnia_clinical_application,sleep_literature_queries_v2_broad_sleep_science,1.0,active,59
query_d5531dc22423,insomnia default mode network fMRI,insomnia_clinical_application,sleep_literature_queries_v2_broad_sleep_science,1.0,active,22
query_35252b6989d0,insomnia hippocampus volume,insomnia_clinical_application,sleep_literature_queries_v2_broad_sleep_science,1.0,active,55
query_e0d7d0416e6d,insomnia polysomnography sleep architecture,insomnia_clinical_application,sleep_literature_queries_v2_broad_sleep_science,1.0,active,72
query_fa23fcd241b4,insomnia resting state fMRI,insomnia_clinical_application,sleep_literature_queries_v2_broad_sleep_science,1.0,active,17
query_a949a6cd6411,insomnia sleep spindle EEG,insomnia_clinical_application,sleep_literature_queries_v2_broad_sleep_science,1.0,active,43
query_4ffc1537d6f4,insomnia structural MRI,insomnia_clinical_application,sleep_literature_queries_v2_broad_sleep_science,1.0,active,45
query_27e5055dd82b,insomnia thalamus functional connectivity,insomnia_clinical_application,sleep_literature_queries_v2_broad_sleep_science,1.0,active,19
query_782df2459e11,insomnia DTI white matter integrity,insomnia_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,59
query_f1997d3b7d6a,insomnia MRI gray matter volume,insomnia_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,63
query_02e496e378a2,insomnia amygdala hippocampus MRI,insomnia_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,59
query_622d87579583,insomnia fMRI functional connectivity,insomnia_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,5
query_c5153ad0e96b,insomnia neuroimaging meta analysis,insomnia_neuroimaging,sleep_literature_queries_v2_broad_sleep_science,1.0,active,88
query_1fd0ce23015c,EEG fMRI artifact correction sleep,methods_confounds,sleep_literature_queries_v2_broad_sleep_science,1.0,active,39
query_133648435a49,age sex motion covariates sleep fMRI,methods_confounds,sleep_literature_queries_v2_broad_sleep_science,1.0,active,78
query_f385304341d7,in scanner sleep EEG fMRI,methods_confounds,sleep_literature_queries_v2_broad_sleep_science,1.0,active,40
query_ba1ef4da3816,multiple comparison correction sleep fMRI,methods_confounds,sleep_literature_queries_v2_broad_sleep_science,1.0,active,85
query_ea357fa08bae,polysomnography scoring reliability,methods_confounds,sleep_literature_queries_v2_broad_sleep_science,1.0,active,137
query_9f9752d5088e,simultaneous EEG fMRI artifact correction,methods_confounds,sleep_literature_queries_v2_broad_sleep_science,1.0,active,93
query_f39c16623284,sleep fMRI head motion confound,methods_confounds,sleep_literature_queries_v2_broad_sleep_science,1.0,active,79
query_4267a04ddf24,sleep neuroimaging medication confound,methods_confounds,sleep_literature_queries_v2_broad_sleep_science,1.0,active,132
query_f5cfe33de0ae,sleep stage composition fMRI analysis,methods_confounds,sleep_literature_queries_v2_broad_sleep_science,1.0,active,83
query_aa5592fe0618,GABA sleep regulation,molecular_cellular_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,73
query_514b73664b58,TNF alpha sleep,molecular_cellular_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,128
query_a057bfdef600,acetylcholine REM sleep,molecular_cellular_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,77
query_d4207650bd8a,adenosine sleep pressure,molecular_cellular_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,92
query_2c7c65e89199,cytokines sleep regulation,molecular_cellular_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,74
query_779fe068526e,glutamate sleep wake regulation,molecular_cellular_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,62
query_561bf26d66e3,histamine sleep wake regulation,molecular_cellular_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,88
query_596a31cacfa9,interleukin sleep regulation,molecular_cellular_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,72
query_1b791241f66a,melatonin circadian sleep,molecular_cellular_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,129
query_7eaa5022484f,orexin receptor sleep arousal,molecular_cellular_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,78
query_c4fd235ed6ce,REM sleep brainstem circuit,sleep_circuits,sleep_literature_queries_v2_broad_sleep_science,1.0,active,72
query_38d56952ef49,SCN circadian sleep regulation,sleep_circuits,sleep_literature_queries_v2_broad_sleep_science,1.0,active,107
query_756fb02ce11b,VLPO sleep GABA,sleep_circuits,sleep_literature_queries_v2_broad_sleep_science,1.0,active,70
query_22386ebbe712,basal forebrain acetylcholine sleep,sleep_circuits,sleep_literature_queries_v2_broad_sleep_science,1.0,active,108
query_ac6591a880ac,cortical slow oscillation sleep,sleep_circuits,sleep_literature_queries_v2_broad_sleep_science,1.0,active,76
query_6792ab5cdbf2,locus coeruleus sleep wake norepinephrine,sleep_circuits,sleep_literature_queries_v2_broad_sleep_science,1.0,active,78
query_7942a4d1fcdb,orexin hypocretin arousal sleep wake,sleep_circuits,sleep_literature_queries_v2_broad_sleep_science,1.0,active,69
query_f547191d3b03,thalamic reticular nucleus sleep spindle,sleep_circuits,sleep_literature_queries_v2_broad_sleep_science,1.0,active,52
query_0547a21e08d0,thalamocortical spindle circuit,sleep_circuits,sleep_literature_queries_v2_broad_sleep_science,1.0,active,66
query_9ba3c8ecde9b,ISI fMRI insomnia,symptoms_scales,sleep_literature_queries_v2_broad_sleep_science,1.0,active,39
query_45568169cf4a,PSQI fMRI sleep quality,symptoms_scales,sleep_literature_queries_v2_broad_sleep_science,1.0,active,44
query_73db43a11350,PSQI sleep quality EEG,symptoms_scales,sleep_literature_queries_v2_broad_sleep_science,1.0,active,84
query_060908b02280,insomnia anxiety depression EEG,symptoms_scales,sleep_literature_queries_v2_broad_sleep_science,1.0,active,71
query_79295adb1a9e,insomnia depression anxiety fMRI,symptoms_scales,sleep_literature_queries_v2_broad_sleep_science,1.0,active,61
query_b2e338cc8cc4,insomnia severity index EEG,symptoms_scales,sleep_literature_queries_v2_broad_sleep_science,1.0,active,60
query_e02b925985f7,sleep quality neuroimaging,symptoms_scales,sleep_literature_queries_v2_broad_sleep_science,1.0,active,72
query_b16aac80546e,subjective sleep quality brain connectivity,symptoms_scales,sleep_literature_queries_v2_broad_sleep_science,1.0,active,65
query_8cba9103b440,adenosine sleep pressure human EEG,translational_bridge,sleep_literature_queries_v2_broad_sleep_science,1.0,active,48
query_d6ebdf34c892,animal sleep mechanism human EEG,translational_bridge,sleep_literature_queries_v2_broad_sleep_science,1.0,active,54
query_274411c1a92e,glymphatic clearance human sleep MRI,translational_bridge,sleep_literature_queries_v2_broad_sleep_science,1.0,active,82
query_3df26cebfc87,orexin hyperarousal insomnia,translational_bridge,sleep_literature_queries_v2_broad_sleep_science,1.0,active,68
query_0e97d414ebef,rodent sleep spindle human sleep spindle,translational_bridge,sleep_literature_queries_v2_broad_sleep_science,1.0,active,56
query_6d930e6ac481,sleep deprivation animal human translation,translational_bridge,sleep_literature_queries_v2_broad_sleep_science,1.0,active,108
query_b04cea6ed987,slow wave sleep glymphatic human,translational_bridge,sleep_literature_queries_v2_broad_sleep_science,1.0,active,67
query_48ad69451260,thalamocortical sleep spindle human animal,translational_bridge,sleep_literature_queries_v2_broad_sleep_science,1.0,active,35
